the_geom,cartodb_id,iso_langua,north,south,east,west
,1881,yry,-9.219502,-54.779045,159.105026,112.919742
,1882,yrs,-2.11241,-2.123542,139.478659,139.470956
,1883,yrw,-4.91507,-4.963515,145.492474,145.416482
,1884,frt,-15.378687,-15.522662,167.050142,166.84377
,1885,isa,-5.7872,-5.882353,145.534062,145.388208
,1886,inz,71.388858,18.909894,293.050802,172.436635
,1887,int,20.693269,20.285245,97.066665,96.849788
,1888,inp,-12.426742,-12.503446,-69.253092,-69.36344
,1889,ins,37.083977,6.754215,97.412506,60.873163
,1890,inl,5.907326,-11.009678,141.019444,95.010796
,1891,inn,16.482856,16.230046,121.25125,120.989036
,1892,ino,-6.274457,-6.376676,145.591281,145.486861
,1893,inh,55.441303,37.176772,87.316531,44.5
,1894,inj,1.102532,0.698767,-76.258072,-77.060557
,1895,ind,71.390655,-54.779045,179.778488,-179.14125
,1896,ing,62.738786,61.771525,-156.563533,-160.364844
,1897,inb,12.196412,0.62588,-59.808954,-77.271539
,1898,wxw,-9.219502,-54.779045,159.105026,112.919742
,1899,hps,22.235386,18.909894,-154.805951,-159.788378
,1900,hpo,28.548317,9.605832,101.170231,92.171849
,1901,wxa,53.56005,10.37314,134.774065,73.560763
,1902,mcb,-10.758971,-12.740034,-71.161372,-73.368133
,1903,tmb,-16.194272,-16.315653,167.5882,167.379851
,1904,eot,5.297328,5.246765,-3.782453,-3.828258
,1905,pto,0.005966,-0.32511,-55.888945,-56.096806
,1906,ptn,0.442328,0.165503,128.979342,128.358
,1907,alh,-14.887362,-16.169136,135.10923,133.454017
,1908,ali,-5.060433,-5.322579,145.529832,145.250234
,1909,reb,-8.338478,-8.650314,121.162872,120.783171
,1910,cmo,13.404716,11.961247,108.214447,106.269508
,1911,cmn,83.113167,-54.779045,180,-180
,1912,cml,-3.418,-3.502619,119.257582,119.107076
,1913,cmi,5.98057,3.902956,-75.534347,-76.615379
,1914,cme,10.56254,9.886335,-4.572751,-5.130801
,1915,cma,11.926816,11.185306,107.791051,106.886993
,1916,cwd,58.589389,53.880136,-98.185001,-108.312807
,1917,cmt,-22.123654,-34.835011,32.89055,16.4534
,1918,cmr,21.395898,20.113608,93.375551,92.171849
,1919,quq,43.791106,27.637354,4.328058,-18.161283
,1920,pty,11.656563,11.615218,76.361011,76.318484
,1921,bwq,12.120689,10.964057,-3.835125,-4.694822
,1922,qus,-25.926026,-29.765257,-61.548632,-64.944508
,1923,qur,-10.286605,-10.743486,-76.332329,-76.730557
,1924,alw,8.532759,7.19913,38.319032,37.34098
,1925,ptu,-2.626144,-3.155041,119.355976,119.046696
,1926,ptt,-3.370518,-3.69082,119.898264,119.424347
,1927,bww,3.854637,1.726918,26.36614,22.95998
,1928,als,71.390655,-54.779045,179.778488,-179.14125
,1929,bwx,53.56005,10.37314,134.774065,73.560763
,1930,ptq,16.820562,13.432544,80.908225,78.728002
,1931,bwy,11.512201,11.329913,-2.777163,-3.064677
,1932,alq,48.668487,45.411265,-75.930549,-79.58569
,1933,glh,35.202833,34.700144,70.73675,69.239103
,1934,akz,30.83646,30.715846,-94.527704,-94.729263
,1935,aky,35.674742,6.754215,97.412506,68.186466
,1936,akx,35.674742,6.754215,97.412506,68.186466
,1937,gll,-9.219502,-54.779045,159.105026,112.919742
,1938,tmk,27.986377,27.940963,85.1642,85.082781
,1939,glo,10.30673,10.07063,10.32313,10.12608
,1940,aks,9.2229,8.666333,1.567098,1.203359
,1941,gla,71.390655,18.913684,354.735072,172.454696
,1942,glb,13.8885,4.270627,14.678242,2.65011
,1943,akp,7.283936,7.133877,0.560778,0.326463
,1944,gld,53.56005,10.37314,138.207746,73.560763
,1945,akv,43.515235,38.392268,50.915237,44.761111
,1946,aku,6.908179,6.806161,10.035643,9.896962
,1947,glg,43.79172,-55.058167,-6.516934,-73.572119
,1948,akj,35.674742,6.754215,97.412506,68.186466
,1949,aki,-5.038887,-5.22331,144.874107,144.656348
,1950,bwc,-6.864682,-8.972692,29.6484,28.43782
,1951,ako,6.015006,1.839008,-53.979425,-58.066022
,1952,akm,35.674742,6.754215,97.412506,68.186466
,1953,akl,71.388858,11.329882,293.050802,121.84314
,1954,akc,-0.502191,-1.023959,133.414864,132.907315
,1955,que,-0.038967,-18.350719,-68.650243,-81.330767
,1956,glr,10.7381,4.361607,-2.496288,-8.604334
,1957,akg,-9.488051,-9.805038,119.732432,119.478714
,1958,akf,7.477562,7.166107,8.145539,7.88704
,1959,glv,54.418175,54.042832,-4.306534,-4.832558
,1960,glw,11.28968,11.04213,13.968813,13.762194
,1961,brz,-5.277755,-5.296107,145.76982,145.755089
,1962,bry,-3.971976,-4.087,143.066066,142.992783
,1963,brx,26.840775,25.708048,92.781476,87.972632
,1964,brw,11.985798,11.874834,76.244442,76.164721
,1965,brv,17.310242,15.231698,106.014645,103.732753
,1966,bru,17.622096,16.411686,107.004652,105.781949
,1967,brt,7.08714,6.73084,11.829336,10.66102
,1968,brs,-1.529493,-1.89456,119.410896,119.323582
,1969,brr,-9.6432,-9.911422,160.748372,160.291346
,1970,brq,-4.679786,-4.786586,144.745287,144.66908
,1971,brp,-2.098231,-2.582386,137.239889,136.911307
,1972,bro,27.681325,27.627108,90.673507,90.622409
